property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,floor_category,luxury_category,price
flat,sector 89,3,3,2,Under Construction,1473.0,0,0,semifurnished,Low-Rise,Luxury,1.13
flat,sector 74,3,3,3+,Relatively New,1800.0,0,0,semifurnished,High-Rise,Luxury,2.45
flat,sector 49,3,3,3,Relatively New,1840.0,0,0,semifurnished,Mid-Rise,Standard,2.23
flat,sector 99a,2,2,3,Relatively New,1390.0,0,0,semifurnished,Low-Rise,Standard,1.05
flat,sector 33,3,3,3+,New Property,1697.0,0,0,unfurnished,Mid-Rise,Standard,1.7
flat,sector 49,1,2,2,Moderately Old,746.0,0,0,semifurnished,Low-Rise,Standard,0.94
flat,sector 99a,2,2,2,New Property,502.0,0,0,semifurnished,Mid-Rise,Premium,0.32
flat,sector 102,3,4,3+,Relatively New,1186.0,1,0,unfurnished,High-Rise,Standard,2.2
house,sector 4,3,3,1,Old Property,57.0,0,0,semifurnished,Low-Rise,Standard,0.6
flat,sector 50,3,3,3+,Old Property,2357.0,1,0,unfurnished,Mid-Rise,Luxury,3.0
flat,sector 79,2,2,1,New Property,546.0,0,0,semifurnished,Low-Rise,Premium,0.36
flat,sector 89,2,2,2,New Property,998.0,0,0,semifurnished,Low-Rise,Premium,0.9
house,sohna road,3,2,2,Under Construction,1120.0,0,0,semifurnished,Low-Rise,Standard,0.85
house,sector 92,4,5,0,Relatively New,2360.0,0,0,semifurnished,Mid-Rise,Standard,1.8
flat,sector 37d,3,3,2,Relatively New,1699.0,0,0,semifurnished,Mid-Rise,Luxury,1.65
flat,sector 66,2,2,2,Relatively New,1188.0,0,0,unfurnished,Mid-Rise,Premium,1.51
flat,sector 85,2,3,3,Relatively New,1420.0,0,0,unfurnished,Mid-Rise,Luxury,1.18
flat,sector 28,3,4,3,Old Property,1700.0,1,0,unfurnished,Mid-Rise,Luxury,2.35
house,sector 46,5,4,3+,Moderately Old,1449.0,1,0,unfurnished,Low-Rise,Premium,3.55
flat,sector 82,2,2,3+,Relatively New,1026.0,0,0,semifurnished,Low-Rise,Luxury,0.63
house,sector 66,5,6,3+,Relatively New,3150.0,1,1,unfurnished,Low-Rise,Luxury,12.0
flat,sector 83,3,3,2,Moderately Old,1500.0,0,0,unfurnished,High-Rise,Luxury,1.12
flat,sector 107,3,3,3+,Relatively New,1690.0,0,0,unfurnished,Low-Rise,Luxury,1.29
flat,manesar,3,3,3,Moderately Old,1526.0,0,0,semifurnished,Low-Rise,Standard,0.68
flat,sector 79,3,4,3+,Relatively New,2141.0,1,0,semifurnished,Mid-Rise,Luxury,2.01
house,sector 86,4,5,3+,Moderately Old,3194.0,1,0,unfurnished,Low-Rise,Standard,2.5
flat,sector 102,3,3,3,Relatively New,1315.0,1,0,semifurnished,Mid-Rise,Luxury,1.35
flat,sector 81,3,3,3+,Relatively New,1881.0,1,0,furnished,Low-Rise,Luxury,2.21
flat,sector 28,3,5,3+,Old Property,2590.0,0,0,semifurnished,Mid-Rise,Standard,3.0
flat,sector 79,3,4,3,New Property,1643.0,1,0,semifurnished,High-Rise,Standard,1.85
flat,sector 65,3,3,3,New Property,1828.0,0,0,semifurnished,High-Rise,Standard,3.29
flat,sector 99a,2,2,3,Under Construction,1133.0,0,0,semifurnished,Low-Rise,Premium,0.59
flat,sector 89,3,2,3,New Property,998.0,0,0,semifurnished,Low-Rise,Standard,1.16
flat,sector 95,3,3,1,Relatively New,2000.0,0,0,semifurnished,Mid-Rise,Premium,0.9
flat,sector 90,2,2,3,Relatively New,1122.0,0,0,semifurnished,Low-Rise,Luxury,0.66
house,sector 2,4,4,3,Relatively New,1557.0,0,1,unfurnished,Low-Rise,Standard,2.9
flat,sector 67a,3,3,2,Under Construction,1563.0,0,0,semifurnished,Mid-Rise,Premium,2.08
flat,sector 56,3,3,3+,Old Property,1450.0,0,0,unfurnished,Low-Rise,Luxury,1.35
flat,sector 95,2,2,1,New Property,694.0,0,0,unfurnished,Mid-Rise,Premium,0.33
flat,sector 99,2,1,2,New Property,652.0,0,0,semifurnished,Mid-Rise,Standard,0.5
flat,sector 72,4,4,3+,Relatively New,3846.0,1,0,semifurnished,Low-Rise,Premium,6.5
flat,sector 102,2,2,2,New Property,1166.0,0,0,unfurnished,Mid-Rise,Standard,1.4
flat,sector 37d,4,4,3,New Property,2211.0,1,0,semifurnished,Low-Rise,Luxury,2.08
flat,sector 59,3,3,3,Under Construction,2550.0,0,0,semifurnished,Low-Rise,Standard,3.78
flat,sohna road,2,1,2,New Property,913.0,0,0,semifurnished,Low-Rise,Premium,0.65
house,sector 28,2,8,3+,Moderately Old,900.0,0,0,unfurnished,Low-Rise,Standard,2.1
flat,sector 74,2,2,3+,Relatively New,1200.0,0,0,semifurnished,Mid-Rise,Luxury,1.54
flat,sector 37d,4,4,3,Relatively New,2091.0,0,0,unfurnished,Mid-Rise,Luxury,1.67
flat,sector 79,3,4,3+,Relatively New,2031.0,1,0,semifurnished,Mid-Rise,Luxury,1.91
flat,sector 53,4,4,3,Under Construction,2477.0,0,0,semifurnished,High-Rise,Standard,7.4
flat,sector 105,3,2,1,Relatively New,1056.0,0,0,unfurnished,Low-Rise,Standard,0.45
house,sector 28,5,6,3+,New Property,3240.0,1,0,unfurnished,Low-Rise,Luxury,10.5
flat,sector 107,2,2,3+,New Property,1236.0,0,0,semifurnished,Mid-Rise,Premium,0.9
house,sector 66,5,6,3+,Relatively New,4500.0,1,1,furnished,Low-Rise,Luxury,18.0
house,sector 4,3,3,2,Old Property,2250.0,0,0,semifurnished,Low-Rise,Standard,3.2
flat,sector 84,4,4,3+,New Property,1896.0,0,0,semifurnished,Low-Rise,Premium,1.05
flat,sector 92,2,2,2,New Property,1083.0,0,0,unfurnished,Low-Rise,Standard,0.78
flat,sector 81,3,2,3+,Relatively New,1352.0,0,0,semifurnished,Mid-Rise,Luxury,1.15
flat,sector 89,3,2,3,Moderately Old,1403.0,0,1,unfurnished,Mid-Rise,Luxury,1.55
flat,sector 33,2,2,3,Under Construction,1279.0,0,0,semifurnished,Low-Rise,Standard,1.65
flat,sector 67,3,3,3+,Relatively New,2047.0,0,0,unfurnished,Low-Rise,Luxury,2.78
flat,sector 90,3,4,3,New Property,1765.0,1,0,semifurnished,Mid-Rise,Premium,1.0
flat,sector 53,3,3,3+,Under Construction,2617.0,0,0,semifurnished,Low-Rise,Standard,5.6
flat,sector 92,4,3,2,New Property,1983.0,0,0,semifurnished,High-Rise,Standard,0.95
flat,sector 112,4,6,3+,Relatively New,3655.35,1,0,unfurnished,Mid-Rise,Luxury,5.6
flat,sector 82,2,2,2,Relatively New,1299.0,0,0,unfurnished,Mid-Rise,Premium,1.0
house,sector 57,4,4,2,Moderately Old,1728.0,1,0,unfurnished,Low-Rise,Standard,3.49
flat,sector 67,4,4,3+,Relatively New,3200.0,1,1,unfurnished,Low-Rise,Luxury,4.75
flat,sector 85,2,2,3,Relatively New,1484.0,0,0,semifurnished,High-Rise,Premium,1.07
house,sector 26,5,5,3+,Relatively New,4518.0,1,0,furnished,Low-Rise,Standard,13.5
flat,sector 88a,3,3,3+,New Property,1306.0,0,0,semifurnished,Mid-Rise,Premium,1.75
flat,sector 107,3,2,2,Relatively New,717.0,0,0,semifurnished,Mid-Rise,Standard,0.51
flat,sector 104,4,4,3+,Relatively New,2303.0,1,0,semifurnished,Mid-Rise,Standard,2.55
flat,sector 69,3,3,2,Relatively New,1428.0,0,0,unfurnished,Mid-Rise,Standard,1.36
house,sector 105,3,2,1,Moderately Old,3889.0,0,0,semifurnished,Low-Rise,Standard,1.15
house,sector 109,5,7,3+,Relatively New,6228.0,1,1,semifurnished,Low-Rise,Luxury,6.25
flat,sector 88a,3,2,3+,Relatively New,1463.0,0,0,furnished,Mid-Rise,Standard,1.62
house,sector 106,5,4,3+,New Property,4000.0,1,1,semifurnished,High-Rise,Luxury,5.6
flat,manesar,3,3,3+,Moderately Old,1900.0,1,0,semifurnished,Low-Rise,Premium,0.86
flat,sohna road,2,2,3+,Relatively New,1131.0,0,0,semifurnished,Mid-Rise,Standard,0.71
flat,sector 104,3,4,3+,Relatively New,2359.0,1,0,unfurnished,Mid-Rise,Luxury,2.23
flat,sector 9a,4,3,3+,Moderately Old,2056.0,0,0,semifurnished,Mid-Rise,Standard,1.5
flat,sector 2,1,2,2,Moderately Old,723.0,0,0,semifurnished,Mid-Rise,Premium,0.56
flat,sector 84,3,2,3+,New Property,1222.0,0,0,unfurnished,Mid-Rise,Premium,0.94
house,sector 8,4,6,1,Relatively New,558.0,0,0,semifurnished,Low-Rise,Standard,1.6
flat,sector 65,3,3,3,Relatively New,1833.0,1,0,unfurnished,Low-Rise,Luxury,2.35
flat,sector 92,4,4,3,Relatively New,2267.0,0,0,semifurnished,Mid-Rise,Standard,1.44
flat,sector 40,1,1,0,Moderately Old,300.0,0,0,semifurnished,Low-Rise,Standard,1.5
house,sector 4,4,4,2,Old Property,1440.0,0,0,semifurnished,Low-Rise,Standard,2.35
flat,sector 89,3,3,3,Under Construction,1480.0,0,0,semifurnished,Mid-Rise,Premium,1.5
house,sector 49,6,6,3,Moderately Old,2880.0,1,1,furnished,Low-Rise,Luxury,4.45
house,sector 72,4,5,3+,Relatively New,7000.0,0,0,unfurnished,Low-Rise,Standard,8.6
flat,sector 84,3,3,2,Relatively New,1475.0,0,0,semifurnished,High-Rise,Standard,1.01
flat,sector 70a,3,3,3,New Property,1750.0,1,0,semifurnished,Low-Rise,Premium,1.6
flat,sector 70a,3,4,3,Relatively New,2127.0,1,0,semifurnished,Mid-Rise,Luxury,2.52
flat,sector 33,3,3,3,Old Property,1619.0,0,0,semifurnished,Low-Rise,Premium,1.79
flat,sector 48,4,5,3+,New Property,3444.0,1,0,semifurnished,Low-Rise,Premium,4.3
house,sector 70a,4,4,3+,Relatively New,5500.0,1,1,semifurnished,Low-Rise,Luxury,4.02
flat,sector 86,3,3,3+,Relatively New,1548.0,0,0,unfurnished,Mid-Rise,Luxury,1.6
flat,sector 62,4,5,3+,Relatively New,3925.0,1,1,unfurnished,Mid-Rise,Luxury,7.15
house,sector 4,2,2,1,Moderately Old,67.0,0,0,semifurnished,Low-Rise,Standard,0.58
flat,sector 89,2,2,2,Under Construction,1390.0,0,0,semifurnished,Mid-Rise,Standard,0.65
flat,sector 70a,3,3,2,Relatively New,1300.0,0,0,semifurnished,Low-Rise,Standard,1.25
flat,sector 69,3,4,2,Relatively New,2056.0,0,0,unfurnished,Low-Rise,Luxury,1.75
flat,sector 37c,3,3,3,Under Construction,1500.0,0,0,semifurnished,Low-Rise,Premium,0.9
flat,sector 69,3,3,2,Relatively New,1455.0,0,0,unfurnished,Low-Rise,Premium,1.55
flat,sector 67a,3,3,3,New Property,1584.0,0,0,semifurnished,Mid-Rise,Standard,2.0
house,sector 4,4,2,2,Moderately Old,585.0,0,0,semifurnished,Low-Rise,Standard,0.65
house,sector 47,8,6,3+,Moderately Old,3240.0,1,0,unfurnished,Low-Rise,Standard,8.81
flat,sector 49,3,3,3,Moderately Old,1604.25,0,0,unfurnished,Mid-Rise,Luxury,2.1
flat,sector 79,3,3,3,Relatively New,2161.0,0,0,semifurnished,Low-Rise,Standard,1.35
house,sector 12,2,4,0,Old Property,675.0,0,0,semifurnished,Low-Rise,Standard,0.9
house,sector 50,3,3,2,Moderately Old,2160.0,1,0,unfurnished,Low-Rise,Premium,7.5
flat,sector 33,2,2,3,Under Construction,85.0,0,0,semifurnished,Mid-Rise,Premium,1.08
house,sector 89,3,3,2,Under Construction,1423.0,0,0,semifurnished,Low-Rise,Standard,1.25
flat,sector 68,2,2,3,Relatively New,982.0,0,0,furnished,Low-Rise,Premium,1.2
flat,sector 63a,2,2,2,Under Construction,978.0,0,0,semifurnished,Low-Rise,Standard,1.65
flat,sector 90,4,5,2,New Property,2248.0,1,0,semifurnished,Mid-Rise,Premium,1.27
flat,sector 63a,3,3,3,Under Construction,1350.0,0,0,semifurnished,Low-Rise,Standard,3.5
house,sector 31,4,4,3+,Moderately Old,1449.0,1,1,unfurnished,Low-Rise,Standard,3.25
flat,sector 93,2,2,2,Relatively New,604.0,0,0,semifurnished,Mid-Rise,Standard,0.36
flat,sector 69,4,4,2,Relatively New,1819.0,0,0,semifurnished,Low-Rise,Luxury,1.68
house,sector 70a,3,2,1,New Property,667.0,0,0,semifurnished,Low-Rise,Standard,2.1
house,sector 2,2,2,0,New Property,600.0,0,0,semifurnished,Low-Rise,Standard,0.35
flat,sector 102,3,3,3,Under Construction,1653.0,0,0,semifurnished,Mid-Rise,Luxury,2.5
flat,sector 25,4,4,3,Old Property,2744.0,1,0,semifurnished,Low-Rise,Standard,3.4
flat,sector 85,3,4,3,Relatively New,2179.0,1,0,unfurnished,Low-Rise,Standard,1.85
flat,sector 49,4,3,3+,Old Property,2492.0,0,0,semifurnished,Low-Rise,Premium,2.0
flat,sector 83,1,1,0,Relatively New,700.0,0,0,semifurnished,Mid-Rise,Standard,0.65
flat,sector 90,4,4,3+,Moderately Old,2468.0,0,0,semifurnished,High-Rise,Premium,1.8
flat,sector 79,3,3,3,Relatively New,1165.0,0,0,unfurnished,High-Rise,Luxury,1.2
flat,sector 79,3,3,2,Relatively New,1795.0,0,0,semifurnished,Mid-Rise,Luxury,1.69
flat,manesar,3,2,3+,Old Property,1696.0,0,0,semifurnished,Mid-Rise,Premium,0.64
house,sector 26,5,5,2,Old Property,2700.0,1,1,furnished,Low-Rise,Luxury,9.0
flat,sector 77,2,2,2,Relatively New,1126.0,0,0,semifurnished,Low-Rise,Premium,0.99
flat,sector 113,2,2,2,Relatively New,1080.0,0,0,semifurnished,Mid-Rise,Premium,1.45
flat,sector 79,3,3,3,Relatively New,1348.0,0,0,unfurnished,High-Rise,Standard,1.2
flat,sector 85,4,5,3+,Relatively New,2017.0,1,0,semifurnished,Mid-Rise,Standard,1.73
flat,sector 89,3,3,3+,New Property,2122.0,1,0,semifurnished,Low-Rise,Standard,1.3
flat,sector 77,3,3,3,Relatively New,1735.0,0,0,semifurnished,Mid-Rise,Standard,1.4
house,sector 46,3,3,2,Old Property,909.0,0,1,unfurnished,Low-Rise,Premium,2.2
house,sector 67,4,4,0,Moderately Old,2800.0,0,0,semifurnished,Low-Rise,Standard,3.0
flat,sector 70,4,4,3+,Moderately Old,2667.0,1,0,unfurnished,Mid-Rise,Premium,2.35
flat,sector 109,3,3,3,Relatively New,1896.0,1,0,semifurnished,High-Rise,Premium,2.22
house,sector 108,1,1,0,Relatively New,2680.0,0,0,semifurnished,Low-Rise,Standard,1.34
flat,sector 37d,3,3,3,Relatively New,1711.0,0,0,unfurnished,Mid-Rise,Luxury,1.4
flat,sector 70,3,5,3,New Property,2167.0,0,0,semifurnished,Low-Rise,Premium,1.8
flat,sector 37d,3,3,3,Relatively New,1707.0,0,0,semifurnished,High-Rise,Standard,1.49
flat,sector 86,3,2,2,New Property,833.0,0,0,semifurnished,Low-Rise,Standard,0.6
flat,sector 113,3,3,3,New Property,2098.0,1,0,semifurnished,Low-Rise,Luxury,2.33
flat,sector 74,3,3,3,New Property,1826.0,0,0,unfurnished,Mid-Rise,Standard,2.2
flat,sector 113,4,4,3+,Relatively New,2991.0,1,0,semifurnished,Mid-Rise,Luxury,3.35
flat,sector 37d,3,3,3,Relatively New,1000.0,0,1,semifurnished,Mid-Rise,Premium,1.2
flat,sector 108,2,3,3,Relatively New,978.23,0,0,semifurnished,Low-Rise,Luxury,0.98
flat,sector 69,3,3,1,Relatively New,1419.0,0,0,unfurnished,Mid-Rise,Premium,1.32
flat,sector 85,4,4,3,Relatively New,2600.0,1,0,semifurnished,Mid-Rise,Standard,2.17
house,sector 41,4,4,2,New Property,3240.0,1,0,unfurnished,Low-Rise,Standard,11.0
flat,sector 65,4,4,3,Relatively New,1650.0,0,0,unfurnished,Low-Rise,Premium,2.8
flat,sector 86,3,3,3,Moderately Old,1747.0,1,0,semifurnished,Mid-Rise,Luxury,1.26
flat,sector 82,4,5,3+,Relatively New,2195.0,1,0,semifurnished,Mid-Rise,Luxury,1.6
flat,sector 33,3,3,0,Under Construction,1996.0,0,0,semifurnished,Low-Rise,Premium,1.75
flat,sector 88a,3,3,3+,Relatively New,1674.0,0,0,unfurnished,Low-Rise,Standard,1.4
flat,sector 110,4,5,3,Relatively New,3000.0,1,0,semifurnished,Mid-Rise,Luxury,3.4
flat,sector 70a,3,3,3+,New Property,1900.0,1,0,semifurnished,Mid-Rise,Luxury,1.68
house,sector 69,4,3,2,New Property,1800.0,0,0,furnished,Low-Rise,Luxury,2.95
flat,sector 109,3,3,3,Moderately Old,1550.0,0,0,semifurnished,High-Rise,Standard,1.7
house,sector 26,5,6,3+,Moderately Old,4518.0,1,1,unfurnished,Low-Rise,Premium,15.0
flat,sector 110,3,3,3,Relatively New,1550.0,0,0,unfurnished,Mid-Rise,Luxury,1.4
flat,sector 102,2,2,2,New Property,1145.0,0,0,semifurnished,Mid-Rise,Luxury,1.99
house,sector 12,3,3,0,New Property,567.0,0,0,semifurnished,Low-Rise,Standard,0.42
flat,sector 69,3,3,3,Relatively New,1640.0,0,0,semifurnished,High-Rise,Standard,2.07
flat,sector 67,3,3,3+,Relatively New,2029.0,1,0,unfurnished,High-Rise,Luxury,3.05
flat,sector 58,3,4,2,Relatively New,2000.0,1,0,unfurnished,Mid-Rise,Luxury,3.83
flat,sector 99a,2,2,1,Relatively New,601.0,0,0,semifurnished,Mid-Rise,Standard,0.32
flat,sector 99,2,3,3,Relatively New,1611.0,1,0,semifurnished,Mid-Rise,Standard,0.95
flat,sector 65,2,2,3,Under Construction,1141.0,0,0,semifurnished,High-Rise,Standard,1.95
flat,sector 62,4,6,3,Relatively New,3932.0,1,1,unfurnished,High-Rise,Luxury,9.14
flat,sector 69,3,3,1,Relatively New,1392.0,0,0,semifurnished,Mid-Rise,Luxury,1.38
flat,sector 71,2,2,1,Moderately Old,639.0,0,0,semifurnished,Mid-Rise,Premium,0.59
flat,dwarka expressway,3,3,3+,Under Construction,1940.0,1,0,semifurnished,Low-Rise,Standard,1.2
flat,sector 74,2,2,2,New Property,1289.0,0,0,unfurnished,High-Rise,Luxury,1.4
flat,sector 92,3,3,3,Relatively New,1801.0,0,0,semifurnished,Low-Rise,Luxury,0.85
flat,sector 107,2,2,3,Relatively New,1388.0,0,0,semifurnished,Mid-Rise,Luxury,1.02
flat,sohna road,2,2,2,New Property,577.0,0,0,semifurnished,Low-Rise,Standard,0.32
house,sector 24,8,10,3+,Old Property,3915.0,0,0,semifurnished,Low-Rise,Standard,10.0
house,sector 28,3,2,1,Relatively New,1800.0,0,0,semifurnished,Low-Rise,Standard,1.45
house,sector 105,3,3,0,Moderately Old,1000.0,0,0,semifurnished,Low-Rise,Standard,0.74
house,sector 13,2,2,2,Old Property,1426.0,0,0,semifurnished,Low-Rise,Standard,1.5
flat,sector 85,4,6,3,Relatively New,3890.0,1,0,semifurnished,Mid-Rise,Luxury,1.91
house,sector 24,7,5,3+,Old Property,540.0,0,0,semifurnished,Low-Rise,Standard,1.6
flat,sector 28,3,4,3+,Moderately Old,1956.0,1,0,furnished,Low-Rise,Standard,2.2
flat,sector 63a,2,2,2,Under Construction,1372.0,0,0,semifurnished,Low-Rise,Standard,1.4
flat,sector 93,2,2,0,Relatively New,730.0,0,0,semifurnished,Low-Rise,Standard,0.4
house,sector 25,5,5,3,Moderately Old,1800.0,1,0,unfurnished,Low-Rise,Luxury,6.25
flat,sector 86,2,2,3,Moderately Old,1339.0,0,0,semifurnished,Mid-Rise,Standard,1.25
flat,sector 85,3,3,2,Relatively New,1825.0,0,0,semifurnished,High-Rise,Standard,1.75
flat,sector 84,3,3,3,Relatively New,1833.0,1,0,unfurnished,High-Rise,Standard,1.5
house,sector 13,2,7,3,Moderately Old,1300.0,0,0,semifurnished,Low-Rise,Standard,1.5
house,sector 26,5,7,3+,Relatively New,4500.0,1,0,furnished,Low-Rise,Premium,20.0
flat,sector 22,3,3,3+,New Property,2069.0,0,0,furnished,Low-Rise,Luxury,4.1
flat,sector 69,4,4,2,Relatively New,1819.0,0,0,semifurnished,Low-Rise,Luxury,1.95
flat,sector 95,3,4,3+,New Property,1964.0,1,0,semifurnished,Mid-Rise,Standard,2.0
flat,sector 33,3,4,1,Relatively New,1421.0,1,0,semifurnished,Low-Rise,Standard,1.55
house,sector 17,2,6,3+,Relatively New,1449.0,0,0,semifurnished,Low-Rise,Premium,2.98
flat,sector 52,1,1,0,Moderately Old,278.0,0,0,unfurnished,Low-Rise,Standard,0.29
flat,sector 37c,3,3,3,Moderately Old,1537.0,0,0,unfurnished,Mid-Rise,Premium,0.9
flat,sector 67a,3,4,3,New Property,1941.0,0,1,unfurnished,Low-Rise,Luxury,1.85
flat,sector 89,3,3,2,Under Construction,1611.0,0,0,semifurnished,Low-Rise,Luxury,1.28
flat,sector 95,2,2,1,New Property,950.0,0,0,semifurnished,Mid-Rise,Standard,0.3
flat,sector 72,3,3,3,Moderately Old,2308.0,1,0,semifurnished,Mid-Rise,Standard,4.1
flat,sector 91,2,2,2,Relatively New,1186.0,0,0,semifurnished,Mid-Rise,Premium,0.95
house,sector 43,3,3,3+,Old Property,60.0,0,0,furnished,Low-Rise,Standard,1.9
house,sector 39,5,5,3+,Moderately Old,4500.0,1,0,unfurnished,Low-Rise,Standard,15.0
flat,sector 79,3,3,3,New Property,1650.0,1,0,semifurnished,Mid-Rise,Premium,1.85
flat,gwal pahari,3,3,3,Old Property,1778.0,0,0,semifurnished,Mid-Rise,Standard,0.95
house,sector 26,7,9,3+,Moderately Old,9000.0,1,1,furnished,Low-Rise,Premium,31.5
flat,sector 95,2,2,3+,New Property,1095.0,0,0,semifurnished,Mid-Rise,Luxury,0.82
flat,sector 62,2,2,3,Under Construction,1676.0,0,0,semifurnished,High-Rise,Luxury,2.15
flat,sector 86,2,2,2,Old Property,573.0,0,0,semifurnished,Mid-Rise,Standard,0.5
flat,sector 24,4,5,3,Old Property,6300.0,0,0,semifurnished,Low-Rise,Standard,14.0
flat,sector 67a,2,2,2,Relatively New,581.0,0,0,semifurnished,Low-Rise,Premium,0.62
flat,sector 110,5,5,2,Relatively New,3500.0,1,0,semifurnished,Mid-Rise,Luxury,4.1
flat,sohna road,2,2,2,New Property,658.0,0,0,semifurnished,High-Rise,Standard,0.35
flat,sector 83,2,2,3,Relatively New,1300.0,0,0,unfurnished,Mid-Rise,Premium,0.95
flat,sector 74,2,2,3,Relatively New,1300.0,0,1,semifurnished,High-Rise,Luxury,1.5
flat,sector 4,3,2,2,New Property,1500.0,0,0,unfurnished,Low-Rise,Standard,1.05
flat,sector 67a,4,4,0,New Property,2556.0,0,0,semifurnished,Low-Rise,Standard,1.85
flat,sector 70,3,4,3+,New Property,1923.0,1,0,semifurnished,High-Rise,Premium,1.65
flat,sector 65,3,4,3,Moderately Old,2696.0,1,0,unfurnished,High-Rise,Luxury,5.4
flat,sector 48,4,5,3+,Relatively New,4422.0,1,0,semifurnished,Low-Rise,Standard,11.25
flat,sector 104,2,2,3,Relatively New,86.0,0,0,semifurnished,Mid-Rise,Luxury,0.82
flat,sector 77,3,4,3+,Relatively New,1829.0,1,0,semifurnished,Mid-Rise,Standard,1.1
flat,sector 85,3,4,3+,Relatively New,2398.0,1,0,unfurnished,High-Rise,Luxury,1.99
flat,sector 81,4,5,2,Relatively New,2882.0,1,0,unfurnished,Mid-Rise,Luxury,3.0
flat,sohna road,2,2,2,Relatively New,1043.0,0,0,semifurnished,Low-Rise,Luxury,0.65
flat,sector 33,3,3,2,Under Construction,1619.0,0,0,semifurnished,Mid-Rise,Standard,2.1
flat,sector 65,3,3,3,New Property,1717.0,1,1,semifurnished,Mid-Rise,Luxury,4.6
flat,sector 61,3,3,2,Under Construction,1811.0,0,0,semifurnished,Low-Rise,Standard,2.2
flat,sector 83,3,4,0,Relatively New,1900.0,0,0,semifurnished,Mid-Rise,Premium,1.8
flat,sector 89,3,2,0,New Property,1423.0,0,0,semifurnished,Low-Rise,Standard,1.71
flat,sector 67,3,3,3,Relatively New,2047.0,0,0,unfurnished,Low-Rise,Standard,2.98
flat,sector 112,3,3,3+,Relatively New,2225.56,1,0,unfurnished,Low-Rise,Luxury,3.29
house,sector 109,4,5,3+,New Property,3600.0,1,0,unfurnished,Low-Rise,Standard,10.0
flat,sector 49,3,3,2,Old Property,2444.0,0,0,unfurnished,Low-Rise,Luxury,1.72
flat,sector 79,2,2,3,Relatively New,1325.0,0,0,semifurnished,Mid-Rise,Standard,1.12
flat,sector 81,4,5,3+,Relatively New,2577.0,1,0,furnished,Mid-Rise,Luxury,3.5
flat,sector 72,4,5,2,Moderately Old,2629.0,1,0,semifurnished,Mid-Rise,Standard,4.0
flat,sector 65,3,3,2,Relatively New,1650.0,1,0,semifurnished,Low-Rise,Luxury,2.35
flat,sector 103,2,2,3,Relatively New,1365.0,0,0,unfurnished,Low-Rise,Premium,1.05
flat,sector 92,4,3,3,Under Construction,2093.0,1,0,semifurnished,Mid-Rise,Premium,1.22
flat,sohna road,2,2,2,Relatively New,750.0,0,0,semifurnished,Mid-Rise,Standard,0.38
flat,sector 56,3,3,3,Moderately Old,2200.0,0,0,semifurnished,Low-Rise,Standard,1.7
flat,sector 85,2,2,1,Under Construction,97.0,0,0,semifurnished,Mid-Rise,Standard,1.05
flat,sector 81,2,2,2,Moderately Old,1397.0,0,0,semifurnished,Mid-Rise,Standard,0.75
flat,sector 89,3,3,3+,Under Construction,1944.0,0,0,semifurnished,Mid-Rise,Premium,1.7
house,sector 112,4,6,3,New Property,6382.0,1,1,unfurnished,Low-Rise,Luxury,7.99
flat,sector 102,2,2,2,Relatively New,1230.0,0,0,semifurnished,Mid-Rise,Luxury,1.35
flat,sector 108,3,3,3+,Relatively New,2116.0,1,0,semifurnished,Mid-Rise,Premium,2.0
house,sohna road road,3,3,0,Moderately Old,9000.0,0,0,semifurnished,Low-Rise,Standard,6.25
flat,sector 65,3,3,3,Relatively New,1650.0,1,0,semifurnished,Low-Rise,Luxury,2.35
flat,sector 89,3,3,2,Under Construction,1581.0,0,0,semifurnished,Low-Rise,Premium,1.16
flat,sector 69,2,2,2,Under Construction,991.0,0,0,semifurnished,Low-Rise,Standard,0.75
flat,sector 70a,2,2,1,New Property,930.0,0,0,unfurnished,Mid-Rise,Luxury,0.95
flat,sector 33,4,4,3+,New Property,2000.0,1,0,semifurnished,Mid-Rise,Standard,2.3
flat,sector 53,3,4,3+,Old Property,2683.0,0,0,semifurnished,Low-Rise,Premium,6.5
flat,sector 86,3,3,3,Moderately Old,1747.0,1,0,semifurnished,Mid-Rise,Luxury,1.3
house,sector 50,5,6,3+,Moderately Old,3240.0,1,1,unfurnished,Low-Rise,Luxury,10.3
house,sector 31,4,4,2,Moderately Old,1557.0,1,0,unfurnished,Low-Rise,Premium,3.69
flat,sector 104,2,2,2,Under Construction,877.0,0,0,semifurnished,High-Rise,Standard,1.2
flat,sector 71,2,2,2,Relatively New,1084.0,0,0,semifurnished,Mid-Rise,Standard,0.79
flat,sector 79,3,3,3,Relatively New,1423.0,0,0,semifurnished,Mid-Rise,Luxury,1.34
flat,sector 111,4,5,3+,Relatively New,2670.0,1,0,semifurnished,Mid-Rise,Premium,3.4
flat,sector 69,3,2,3,Relatively New,1473.0,0,0,semifurnished,Mid-Rise,Luxury,0.9
flat,sector 56,4,4,3,Relatively New,2000.0,1,0,unfurnished,Mid-Rise,Standard,2.05
flat,sector 95,2,2,0,New Property,758.0,0,0,semifurnished,Low-Rise,Standard,0.27
flat,sector 3 phase 3 extension,2,2,1,Relatively New,570.0,0,0,furnished,Low-Rise,Standard,0.22
flat,sector 89,2,2,2,New Property,1226.0,0,0,semifurnished,Low-Rise,Standard,1.0
